size, block_size, success, time
49, 45, 0.050000, 0.498421
49, 47, 0.330000, 0.502885
49, 49, 0.110000, 0.526257
49, 51, 0.060000, 0.542107
49, 53, 0.370000, 0.554483
51, 5, 0.250000, 0.150451
51, 7, 0.150000, 0.171551
51, 9, 0.150000, 0.189342
51, 11, 0.330000, 0.203039
51, 13, 0.250000, 0.217549
51, 15, 0.070000, 0.236432
51, 17, 0.250000, 0.247725
51, 19, 0.340000, 0.263113
51, 21, 0.050000, 0.283969
51, 23, 0.320000, 0.293392
51, 25, 0.200000, 0.308703
51, 27, 0.120000, 0.327840
51, 29, 0.310000, 0.339444
51, 31, 0.170000, 0.358245
51, 33, 0.080000, 0.433499
51, 35, 0.090000, 0.452216
51, 37, 0.260000, 0.466938
51, 39, 0.130000, 0.492258
51, 41, 0.230000, 0.505684
51, 43, 0.290000, 0.525940
51, 45, 0.030000, 0.559146
51, 47, 0.380000, 0.566198
51, 49, 0.140000, 0.590546
51, 51, 0.090000, 0.609222
51, 53, 0.430000, 0.622382
53, 5, 0.240000, 0.168321
53, 7, 0.120000, 0.192440
53, 9, 0.100000, 0.210880
53, 11, 0.220000, 0.248054
53, 13, 0.270000, 0.264176
53, 15, 0.070000, 0.265089
53, 17, 0.260000, 0.289257
53, 19, 0.280000, 0.308097
53, 21, 0.020000, 0.320728
53, 23, 0.270000, 0.338504
53, 25, 0.360000, 0.353576
53, 27, 0.140000, 0.365143
53, 29, 0.240000, 0.378819
53, 31, 0.120000, 0.398226
53, 33, 0.080000, 0.481005
53, 35, 0.080000, 0.504346
53, 37, 0.250000, 0.523010
53, 39, 0.120000, 0.549228
53, 41, 0.300000, 0.564442
53, 43, 0.290000, 0.585698
53, 45, 0.080000, 0.620893
53, 47, 0.260000, 0.629529
53, 49, 0.130000, 0.657706
53, 51, 0.090000, 0.679550
53, 53, 0.300000, 0.695390
55, 5, 0.250000, 0.187076
55, 7, 0.170000, 0.213413
55, 9, 0.110000, 0.234437
55, 11, 0.230000, 0.251806
55, 13, 0.320000, 0.270503
55, 15, 0.050000, 0.293211
55, 17, 0.210000, 0.308416
55, 19, 0.320000, 0.326965
55, 21, 0.050000, 0.350641
55, 23, 0.270000, 0.364734
55, 25, 0.250000, 0.384510
55, 27, 0.130000, 0.405718
55, 29, 0.200000, 0.420646
55, 31, 0.140000, 0.444208
55, 33, 0.150000, 0.537812
55, 35, 0.090000, 0.561417
55, 37, 0.260000, 0.580851
55, 39, 0.150000, 0.609784
55, 41, 0.300000, 0.629076
55, 43, 0.380000, 0.653054
55, 45, 0.080000, 0.690053
55, 47, 0.350000, 0.701094
55, 49, 0.140000, 0.730345
55, 51, 0.120000, 0.759191
55, 53, 0.280000, 0.772313
57, 5, 0.290000, 0.207850
57, 7, 0.080000, 0.236600
57, 9, 0.100000, 0.259449
57, 11, 0.250000, 0.279341
57, 13, 0.330000, 0.299832
57, 15, 0.090000, 0.324226
57, 17, 0.270000, 0.341468
57, 19, 0.250000, 0.364659
57, 21, 0.000000, -1.#IND00
57, 23, 0.300000, 0.403990
57, 25, 0.250000, 0.424969
57, 27, 0.120000, 0.450568
57, 29, 0.350000, 0.467104
57, 31, 0.100000, 0.489561
57, 33, 0.050000, 0.595396
57, 35, 0.140000, 0.622161
57, 37, 0.310000, 0.643990
57, 39, 0.220000, 0.676316
57, 41, 0.240000, 0.697185
57, 43, 0.220000, 0.723915
57, 45, 0.040000, 0.762135
57, 47, 0.280000, 0.777998
57, 49, 0.110000, 0.810328
57, 51, 0.110000, 0.838661
57, 53, 0.260000, 0.858979
59, 5, 0.250000, 0.228798
59, 7, 0.150000, 0.261621
59, 9, 0.070000, 0.291817
59, 11, 0.220000, 0.308943
59, 13, 0.360000, 0.331605
59, 15, 0.070000, 0.359452
59, 17, 0.370000, 0.377600
59, 19, 0.350000, 0.400593
59, 21, 0.010000, 0.426758
59, 23, 0.200000, 0.446199
59, 25, 0.280000, 0.470132
59, 27, 0.070000, 0.496211
59, 29, 0.210000, 0.516298
59, 31, 0.140000, 0.542055
59, 33, 0.110000, 0.659064
59, 35, 0.090000, 0.688293
59, 37, 0.220000, 0.711634
59, 39, 0.120000, 0.746189
59, 41, 0.280000, 0.771829
59, 43, 0.310000, 0.800755
59, 45, 0.040000, 0.841176
59, 47, 0.360000, 0.859013
59, 49, 0.160000, 0.897026
59, 51, 0.080000, 0.927873
59, 53, 0.240000, 0.948290
61, 5, 0.190000, 0.253095
61, 7, 0.110000, 0.288831
61, 9, 0.090000, 0.316636
61, 11, 0.290000, 0.340943
61, 13, 0.270000, 0.365571
61, 15, 0.050000, 0.394320
61, 17, 0.310000, 0.416049
61, 19, 0.240000, 0.441389
61, 21, 0.010000, 0.475650
61, 23, 0.290000, 0.492001
61, 25, 0.290000, 0.518072
61, 27, 0.140000, 0.546692
61, 29, 0.310000, 0.568887
61, 31, 0.150000, 0.597184
61, 33, 0.120000, 0.724193
61, 35, 0.070000, 0.760779
61, 37, 0.280000, 0.783988
61, 39, 0.050000, 0.823819
61, 41, 0.280000, 0.849252
61, 43, 0.340000, 0.882761
61, 45, 0.070000, 0.929117
61, 47, 0.300000, 0.948421
61, 49, 0.110000, 0.988138
61, 51, 0.070000, 1.023164
61, 53, 0.230000, 1.045957
63, 5, 0.230000, 0.277326
63, 7, 0.180000, 0.316364
63, 9, 0.080000, 0.347993
63, 11, 0.290000, 0.373578
63, 13, 0.230000, 0.401228
63, 15, 0.070000, 0.433353
63, 17, 0.310000, 0.456894
63, 19, 0.320000, 0.484633
63, 21, 0.050000, 0.521873
63, 23, 0.250000, 0.539506
63, 25, 0.230000, 0.569054
63, 27, 0.080000, 0.599352
63, 29, 0.340000, 0.624424
63, 31, 0.160000, 0.657186
63, 33, 0.160000, 0.796259
63, 35, 0.170000, 0.832510
63, 37, 0.260000, 0.863795
63, 39, 0.130000, 0.904986
63, 41, 0.260000, 0.933199
63, 43, 0.280000, 0.967759
63, 45, 0.020000, 1.020814
63, 47, 0.260000, 1.040869
63, 49, 0.130000, 1.081574
63, 51, 0.090000, 1.125326
63, 53, 0.330000, 1.149200
65, 5, 0.200000, 0.304950
65, 7, 0.090000, 0.346587
65, 9, 0.140000, 0.380557
65, 11, 0.360000, 0.409432
65, 13, 0.240000, 0.441609
65, 15, 0.050000, 0.476529


size, block_size, success, time
65, 5, 0.190000, 0.306304
65, 7, 0.130000, 0.344610
65, 9, 0.120000, 0.376721
65, 11, 0.280000, 0.404954
65, 13, 0.260000, 0.436249
65, 15, 0.010000, 0.484400
65, 17, 0.370000, 0.496752
65, 19, 0.250000, 0.532670
65, 21, 0.020000, 0.563064
65, 23, 0.320000, 0.588300
65, 25, 0.290000, 0.619877
65, 27, 0.120000, 0.653112
65, 29, 0.240000, 0.681534
65, 31, 0.140000, 0.715565
65, 33, 0.090000, 0.865402
65, 35, 0.060000, 0.905833
65, 37, 0.300000, 0.939628
65, 39, 0.130000, 0.985863
65, 41, 0.280000, 1.017839
65, 43, 0.280000, 1.061718
65, 45, 0.060000, 1.111276
65, 47, 0.220000, 1.136362
65, 49, 0.070000, 1.180425
65, 51, 0.100000, 1.223194
65, 53, 0.370000, 1.253757
67, 5, 0.160000, 0.326924
67, 7, 0.160000, 0.373450
67, 9, 0.110000, 0.409759
67, 11, 0.260000, 0.441846
67, 13, 0.270000, 0.475191
67, 15, 0.040000, 0.514162
67, 17, 0.220000, 0.541554
67, 19, 0.250000, 0.577233
67, 21, 0.020000, 0.616405
67, 23, 0.290000, 0.644837
67, 25, 0.230000, 0.679198
67, 27, 0.090000, 0.715454
67, 29, 0.250000, 0.743869
67, 31, 0.090000, 0.780825
67, 33, 0.100000, 0.943961
67, 35, 0.130000, 0.990185
67, 37, 0.310000, 1.026041
67, 39, 0.100000, 1.076440
67, 41, 0.310000, 1.111246
67, 43, 0.250000, 1.155640
67, 45, 0.050000, 1.212106
67, 47, 0.270000, 1.239543
67, 49, 0.160000, 1.289861
67, 51, 0.100000, 1.336465
67, 53, 0.280000, 1.371695
69, 5, 0.240000, 0.356401
69, 7, 0.120000, 0.407164
69, 9, 0.110000, 0.445690
69, 11, 0.250000, 0.484659
69, 13, 0.340000, 0.517569
69, 15, 0.020000, 0.563171
69, 17, 0.270000, 0.590383
69, 19, 0.350000, 0.627589
69, 21, 0.030000, 0.673525
69, 23, 0.270000, 0.700659
69, 25, 0.260000, 0.736855
69, 27, 0.130000, 0.778122
69, 29, 0.260000, 0.809797
